,id,longid,guid,name,entrytype,entrytype_text,description_short,rock_parent,rock_parent2,rock_root,rock_bgs_code,meteoritical_code
0,11263,1:1:11263:9,35dd2df7-822d-4e7b-81e1-09979bed5df7,Lodranite meteorite,7,rock,Lodranites can be described as chondrites that were heated to the point where FeNi and FeS reach an eutectic point. At this point partial melting occurred and some of the metal and silica melt was removed.,49847,0,1,,Lodranite
1,49515,1:1:49515:2,b6bb2dbe-bab1-48b6-885d-5dca1e3964fa,Chondrite meteorite,7,rock,,49514,0,1,,Chondrite-uncl
2,49517,1:1:49517:0,f07b841d-d0ab-4f0a-85a5-b0b0261adac0,Chondrite-fusion crust meteorite,7,rock,A piece of fusion crust that became detatched from a chondrite.,49515,0,0,,Chondrite-fusion crust
3,49518,1:1:49518:9,c3f1cbbc-d854-4a6d-8899-3c0165a5b761,Ungrouped chondrite meteorite,7,rock,An ungrouped chondrite.,49515,0,0,,Chondrite-ung
4,49519,1:1:49519:8,d60e097d-27cd-449d-8a33-2ec70dbc05ce,Carbonaceous chondrite meteorite,7,rock,"Stony (non-metallic) meteorites that have not been modified due to melting or differentiation of the parent body.

They include some of the most primitive known meteorites. The C chondrites represent only a small proportion (4.6%) of meteorite falls....",49515,0,1,,C
5,49520,1:1:49520:4,073ad083-24ad-4527-a6a8-0c7df1a49b8c,C chondrite meteorite,7,rock,Undifferentiated carbonaceous chondrites.,49519,0,1,,C
6,49522,1:1:49522:2,60efc36c-1f8f-428f-a3af-cdcb1c2c65ef,Ungrouped C1 chondrite meteorite,7,rock,"A C chondrite that is petrologic type 1, ungrouped.",49521,0,0,,C1-ung
7,49523,1:1:49523:1,1f3cde5b-63a9-4e9d-9108-3e9752b411a9,Ungrouped C1/2 chondrite meteorite,7,rock,"A C chondrite that is transitional between petrologic type 1 and 2, ungrouped",49521,49524,0,,C1/2-ung
8,49524,1:1:49524:0,9bdadcd8-6d6f-4a0a-9135-a2ae1ff68d11,C2 chondrite meteorite,7,rock,A C chondrite that is petrologic type 2.,49520,49841,1,,C2
9,49525,1:1:49525:9,1937d736-eb64-4ed6-81eb-3c40c8684544,Ungrouped C2 chondrite meteorite,7,rock,"A C chondrite that is petrologic type 2, ungrouped.",49524,0,0,,C2-ung
10,49526,1:1:49526:8,fe891aaa-521a-42d9-b417-4846c0e648e7,C3 chondrite meteorite,7,rock,A C chondrite that is petrologic type 3.,49520,49842,1,,C3
11,49527,1:1:49527:7,4bb6db3b-efe5-446e-a426-122e0f345b8b,Ungrouped C3 chondrite meteorite,7,rock,"A C chondrite that is petrologic type 3, ungrouped.",49526,0,0,,C3-ung
12,49528,1:1:49528:6,22380ef7-023a-4549-bd63-e4dec59424a9,Ungrouped C3.0 chondrite meteorite,7,rock,"A C chondrite that is petrologic type 3.0, ungrouped.",49526,0,0,,C3.0-ung
13,49529,1:1:49529:5,9ae4bfba-bc75-4d49-a32a-0aacef0a7f9d,Ungrouped C3/4 chondrite meteorite,7,rock,"A C chondrite that is transitional between petrologic type 3 and 4, ungrouped",49526,49530,0,,C3/4-ung
14,49530,1:1:49530:1,16d0ed79-bd68-4f8d-9231-87009eac70d0,C4 chondrite meteorite,7,rock,A C chondrite that is petrologic type 4.,49520,49843,1,,C4
15,49531,1:1:49531:0,d3f3b882-0256-4aaf-8080-a07df5d5df0c,C4-ung chondrite meteorite,7,rock,"A C chondrite that is petrologic type 4, ungrouped.",49530,0,0,,C4-ung
16,49532,1:1:49532:9,614bfa8b-d6d2-4cee-a174-412b636ee3ea,C4/5 chondrite meteorite,7,rock,A C chondrite that is transitional between petrologic type 4 and 5.,49530,49533,0,,C4/5
17,49534,1:1:49534:7,67aab9d3-1a54-42dd-a6c0-e5a61480c025,C5/6-ung chondrite meteorite,7,rock,"A C chondrite that is transitional between petrologic type 5 and 6, ungrouped",49533,49535,0,,C5/6-ung
18,49535,1:1:49535:6,97334e80-6d62-4cf5-b997-29221f6c23bf,C6 chondrite meteorite,7,rock,A C chondrite that is petrologic type 6.,49520,49845,1,,C6
19,49536,1:1:49536:5,0f84472d-5a87-43fa-af86-88207bcab293,CB chondrite meteorite,7,rock,Bencubbn class carbonaceous chondrite. With metal and pyroxene. Ongoing research suggests this is the product of asteroidal collisions.,49519,0,1,,CB
20,49537,1:1:49537:4,05e98d0e-32a4-4d2d-81a8-1875b8851b8a,CBa chondrite meteorite,7,rock,A CB chondrite of subtype a (contains large chondrule-like objects).,49536,0,1,,CBa
21,49538,1:1:49538:3,6c9ebd6b-9818-42f0-8f06-18913758a09a,CBb chondrite meteorite,7,rock,A CB chondrite of subtype b (contains small chondrules).,49536,0,1,,CBb
22,49540,1:1:49540:8,c62da41e-297f-41f2-83c1-fdd7141a0d19,CH3 chondrite meteorite,7,rock,A CH chondrite that is of petrologic type 3.,49539,49842,1,,CH3
23,49542,1:1:49542:6,76107c20-b745-47eb-83e2-c5a3c6b74ec8,CI1 chondrite meteorite,7,rock,A CI chondrite that is of petrologic type 1.,49541,49840,1,,CI1
24,49543,1:1:49543:5,546fcda5-726c-4cb2-8e0a-fa64b4256f1c,CK chondrite meteorite,7,rock,"The Karoonda (CK) chemical group of carbonaceous chondrites, distinguished by abundant fine-grained matrix (~75 vol%), mm-sized chondrules that lack igneous rims,  relatively few refractory inclusions, and a high degree of oxidation; most CK chondrites...",49519,0,1,,CK
25,49544,1:1:49544:4,f792d969-4fe2-41a9-9ade-3cd7351a377c,CK3 chondrite meteorite,7,rock,A CK chondrite that is of petrologic type 3.,49543,49842,1,,CK3
26,49545,1:1:49545:3,472cd3e3-4f50-4ede-8a19-078269804d58,Anomalous CK3 chondrite meteorite,7,rock,A CK chondrite that is petrologic type 3 and has anomalous properties.,49544,0,0,,CK3-an
27,49546,1:1:49546:2,9309c198-b69d-40de-8ef3-8cefbec613a0,CK3.8 chondrite meteorite,7,rock,A CK chondrite that is of petrologic type 3.8.,49544,0,0,,CK3.8
28,49547,1:1:49547:1,56a3971f-2209-4f11-a1c6-e6c81ad6d0c4,CK3/4 chondrite meteorite,7,rock,A CK chondrite that is transitional between petrologic type 3 and 4.,49544,49548,0,,CK3/4
29,49548,1:1:49548:0,bac4d1b1-5ca5-48c4-833a-efa7bdbfa7f9,CK4 chondrite meteorite,7,rock,A CK chondrite that is of petrologic type 4.,49543,49843,1,,CK4
30,49549,1:1:49549:9,2b5c9ad5-2336-4eab-bc7a-21d732f71048,Anomalous CK4 chondrite meteorite,7,rock,A CK chondrite that is petrologic type 4 and has anomalous properties.,49548,0,0,,CK4-an
31,49550,1:1:49550:5,513fb5ea-383d-4083-845f-4adc811cdf19,CK5 chondrite meteorite,7,rock,A CK chondrite that is of petrologic type 5.,49543,49844,1,,CK5
32,49551,1:1:49551:4,193188ee-067e-4c59-8e92-ca8fc0d9de95,CK6 chondrite meteorite,7,rock,A CK chondrite that is of petrologic type 6.,49543,49845,1,,CK6
33,49552,1:1:49552:3,c47d65df-ead8-4caa-a956-02b3f4aad3f1,CM chondrite meteorite,7,rock,"The Mighei (CM) chemical group of carbonaceous chondrites, distinguished by small chondrules and refractory inclusions (0.3 mm), abundant fine-grained matrix (~70 vol%), and abundant hydrated minerals.",49519,0,1,,CM
34,49553,1:1:49553:2,39357c7e-ccc2-489f-8af7-1307b5af80c5,CM1 chondrite meteorite,7,rock,A CM chondrite that is of petrologic type 1.,49552,49840,1,,CM1
35,49554,1:1:49554:1,22953eae-618c-4a2e-b59b-8f007e57e1b5,CM1/2 chondrite meteorite,7,rock,A CM chondrite that is transitional between petrologic type 1 and 2.,49553,49557,0,,CM1/2
36,49556,1:1:49556:9,57fc2a17-e4f1-4e4f-ad9f-5d113d5c9750,Anomalous CM chondrite meteorite,7,rock,A CM chondrite that is anomalous and for which the petrologic type has not been determined.,49552,0,0,,CM-an
37,49557,1:1:49557:8,8e49d88a-ea6e-4c87-bb2e-15b97fc6761b,CM2 chondrite meteorite,7,rock,A CM chondrite that is of petrologic type 2.,49552,49841,1,,CM2
38,49558,1:1:49558:7,6c0acc28-062b-4c12-945d-8d1ef46217e1,Anomalous CM2 chondrite meteorite,7,rock,A CM chondrite that is petrologic type 2 and has anomalous properties.,49557,49557,0,,CM2-an
39,49559,1:1:49559:6,c8e646e8-80a2-46a2-aa78-7eda291f9b7e,CO chondrite meteorite,7,rock,"The Ornans (CO) chemical group of carbonaceous chondrites, distinguished by small chondrules and refractory inclusions.",49519,0,1,,CO
40,49560,1:1:49560:2,6e9c9a96-850e-4856-a6eb-c8ee889b65e2,CO3 chondrite meteorite,7,rock,A CO chondrite that is of petrologic type 3.,49559,49842,1,,CO3
41,49561,1:1:49561:1,f57839ed-9ab9-483c-ad7d-21b347430735,CO3.0 chondrite meteorite,7,rock,A CO chondrite that is of petrologic type 3.0.,49560,0,0,,CO3.0
42,49562,1:1:49562:0,3851f784-e79d-4ba2-9815-5849ff2e7476,CO3.1 chondrite meteorite,7,rock,A CO chondrite that is of petrologic type 3.1.,49560,0,0,,CO3.1
43,49563,1:1:49563:9,2f326050-e8c9-4af3-a233-bbad12f70608,CO3.2 chondrite meteorite,7,rock,A CO chondrite that is of petrologic type 3.2.,49560,0,0,,CO3.2
44,49564,1:1:49564:8,e672b1fe-5f0c-46bf-98fd-a0324ae7af13,CO3.3 chondrite meteorite,7,rock,A CO chondrite that is of petrologic type 3.3.,49560,0,0,,CO3.3
45,49565,1:1:49565:7,29fe331e-5f36-4768-907f-b43786a5e044,CO3.4 chondrite meteorite,7,rock,A CO chondrite that is of petrologic type 3.4.,49560,0,0,,CO3.4
46,49566,1:1:49566:6,5dff6f4a-f152-458e-bba8-0da5365c53c3,CO3.5 chondrite meteorite,7,rock,A CO chondrite that is of petrologic type 3.5.,49560,0,0,,CO3.5
47,49567,1:1:49567:5,0e707f4a-f5df-4a13-992e-a9dcc3251be2,CO3.6 chondrite meteorite,7,rock,A CO chondrite that is of petrologic type 3.6.,49560,0,0,,CO3.6
48,49568,1:1:49568:4,1c6e283e-f2bb-4661-bb66-6d4ef6c9d674,CO3.7 chondrite meteorite,7,rock,A CO chondrite that is of petrologic type 3.7.,49560,0,0,,CO3.7
49,49569,1:1:49569:3,7408f756-274b-4085-8e57-6af17225cee2,CO3.8 chondrite meteorite,7,rock,A CO chondrite that is of petrologic type 3.8.,49560,0,0,,CO3.8
50,49571,1:1:49571:8,a60b0d08-6edb-4e44-8b23-d2d7e6818c28,CR chondrite meteorite,7,rock,"The Renazzo (CR) chemical group of carbonaceous chondrites, distinguished by large, abundant porphyritic chondrules (0.7 mm, 50 vol%), many of which have igneous rims, few refractory inclusions, abundant metal (5-8 vol%), and fine-grained matrix that i...",49519,0,1,,CR
51,49572,1:1:49572:7,ba12f512-4d41-4c83-9d48-729038ac9133,CR1 chondrite meteorite,7,rock,A CR chondrite that is of petrologic type 1.,49571,49840,1,,CR1
52,49573,1:1:49573:6,10ebeb1c-ecd1-4781-a7da-f0bba9810795,CR2 chondrite meteorite,7,rock,A CR chondrite that is of petrologic type 2.,49571,49841,1,,CR2
53,49574,1:1:49574:5,fb84f221-eda6-44e2-9363-706e03e2486a,Anomalous CR2 chondrite meteorite,7,rock,A CR chondrite that is of petrologic type 2 and has anomalous properties.,49573,0,0,,CR2-an
54,49575,1:1:49575:4,17f0d5ea-6ce9-4f08-b104-d64d1356ec10,CR6 chondrite meteorite,7,rock,A CR chondrite that is of petrologic type 6.,49571,49845,1,,CR6
55,49576,1:1:49576:3,8cb422e1-c90d-43b2-8283-7366657af48a,CR7 chondrite meteorite,7,rock,A CR chondrite that is of petrologic type 7. Note that perologic type 7 is not used consistently or widely accepted in the literature.,49571,49846,0,,CR7
56,49578,1:1:49578:1,9d219462-5247-4fd6-b504-0b5e8a6632b1,CV2 chondrite meteorite,7,rock,A CV chondrite that is of petrologic type 2.,49577,49841,1,,CV2
57,49579,1:1:49579:0,cd4cfee4-b843-4a07-821c-1d54406ae707,CV3 chondrite meteorite,7,rock,A CV chondrite that is of petrologic type 3.,49577,49842,1,,CV3
58,49580,1:1:49580:6,ff0fdfa5-70eb-477a-9bd4-b215f75265f3,Anomalous CV3 chondrite meteorite,7,rock,A CV chondrite that is petrologic type 3 and has anomalous properties.,49579,0,0,,CV3-an
59,49581,1:1:49581:5,5fb782f3-f128-4673-9aed-cd03e235802b,Ordinary chondrite meteorite,7,rock,"A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.",49515,0,1,,OC
60,49584,1:1:49584:2,bb27e2e2-9331-4bb5-9cbf-b7fae43b5420,H chondrite meteorite,7,rock,"The high-iron (H) chemical group of ordinary chondrites, distinguished by their high siderophile element content, relatively small chondrules (~0.3 mm), and oxygen isotope compositions that are closer to the terrestrial fractionation line than those of...",49581,0,1,,H
61,49585,1:1:49585:1,f417c8c1-a218-4ae7-a79d-0e8213892c59,H3 chondrite meteorite,7,rock,An H chondrite that is of petrologic type 3.,49584,49842,1,,H3
62,49586,1:1:49586:0,3a16c078-cc59-4041-ab45-5a13a080c731,H(L)3 chondrite meteorite,7,rock,"An H chondrite (or less likely, an L chondrite) that is of petrologic type 3.",49585,49649,0,,H(L)3
63,49587,1:1:49587:9,8bb2335a-eea4-4f2b-a38d-cdf355bc1842,H/L3.5 chondrite meteorite,7,rock,An H chondrite or L chondrite that is of petrological type 3.5.,50445,0,0,,H/L3.5
64,49588,1:1:49588:8,60671b38-1d34-4038-b6a1-f75036433e73,H/L3.6 chondrite meteorite,7,rock,An H chondrite or L chondrite that is of petrological type 3.6.,50445,0,0,,H/L3.6
65,49589,1:1:49589:7,60684aab-ec16-4a7d-ae8b-576e15bf7956,H/L3.7 chondrite meteorite,7,rock,An H chondrite or L chondrite that is of petrological type 3.7.,50445,0,0,,H/L3.7
66,49590,1:1:49590:3,5ff4b41c-2af2-4241-845c-1019b8ce6c85,H/L3.9 chondrite meteorite,7,rock,An H chondrite or L chondrite that is of petrological type 3.9.,50445,0,0,,H/L3.9
67,49591,1:1:49591:2,8b1fe643-0cf5-4ab3-9dcb-927d85450468,H/L3-4 chondrite meteorite,7,rock,An H chondrite or L chondrite that is a breccia of petrological type 3 and 4 components.,50445,49609,0,,H/L3-4
68,49592,1:1:49592:1,818a5c48-b7c4-46a1-a6bb-1d956127e2ec,H3/4 chondrite meteorite,7,rock,An H chondrite that is transitional between petrologic type 3 and 4.,49585,49606,0,,H3/4
69,49593,1:1:49593:0,b0c051a3-e0de-48e8-b322-ebf2d5f4675b,H3-an chondrite meteorite,7,rock,An H chondrite that is petrologic type 3 and has anomalous properties.,49585,0,0,,H3-an
70,49595,1:1:49595:8,cd1496c6-c79f-4aac-b5e7-06e70d459f88,H(L)3-an chondrite meteorite,7,rock,"An H chondrite (or less likely, an L chondrite) that is of petrologic type 3 and has anomalous properties.",49586,0,0,,H(L)3-an
71,49596,1:1:49596:7,34562df1-857e-4af6-aa3e-9e44b3d4b267,H(L)3.1 chondrite meteorite,7,rock,"An H chondrite (or less likely, an L chondrite) that is of petrologic type 3.1.",49586,0,0,,H(L)3.1
72,49597,1:1:49597:6,12ecf616-0fc4-4cd7-a955-497fa850a976,H3.0 chondrite meteorite,7,rock,An H chondrite that is petrologic type 3.0.,49585,0,0,,H3.0
73,49599,1:1:49599:4,3e9c5d06-d018-485a-91c9-08eab2691129,H3.0-3.4 chondrite meteorite,7,rock,An H chondrite that is a breccia of components ranging from petrologic type 3.0 to type 3.4,49585,0,0,,H3.0-3.4
74,49600,1:1:49600:9,3492f466-e09c-47aa-8516-46ccb98be18c,H3.1 chondrite meteorite,7,rock,An H chondrite that is petrologic type 3.1.,49585,0,0,,H3.1
75,49603,1:1:49603:6,3146b065-b754-4396-8583-4a5f61deb852,H3.2 chondrite meteorite,7,rock,An H chondrite that is petrologic type 3.2.,49585,0,0,,H3.2
76,49604,1:1:49604:5,19b13557-4394-45ae-a04f-4f9b61d5f29f,H3.2-3.7 chondrite meteorite,7,rock,An H chondrite that is a breccia of components ranging from petrologic type 3.2 to type 3.7.,49585,0,0,,H3.2-3.7
77,49606,1:1:49606:3,31c0bbab-1e30-4573-a590-9bb0cbaacc3a,H4 chondrite meteorite,7,rock,An H chondrite that is of petrologic type 4.,49584,49843,1,,H4
78,49607,1:1:49607:2,6aaa2e0c-98e7-4aa9-b281-af7e6d3261ec,H4-melt breccia chondrite meteorite,7,rock,An H4 chondrite that is a breccia with melted material forming the matrix.,49606,0,0,,H4-melt breccia
79,49608,1:1:49608:1,f9ddf8b9-02ed-4786-b084-8bf39957e9b2,H4-an chondrite meteorite,7,rock,An H chondrite that is petrologic type 4 and has anomalous properties.,49606,0,0,,H4-an
80,49609,1:1:49609:0,5cb47d89-8e89-47c0-a1e1-7242458a7559,H/L4 chondrite meteorite,7,rock,An H chondrite or L chondrite that is of petrological type 4.,49606,49695,0,,H/L4
81,49610,1:1:49610:6,3b0c1eb4-915e-41a1-92d9-cb0bf6840302,H/L4/5 chondrite meteorite,7,rock,An H chondrite or L chondrite that is transitional between petrological types 4 and 5.,49609,49617,0,,H/L4/5
82,49612,1:1:49612:4,237f492a-4a57-48a3-9d0f-4ef463d8cca3,H4/5 chondrite meteorite,7,rock,An H chondrite that is transitional between petrological types 4 and 5.,49606,0,0,,H4/5
83,49614,1:1:49614:2,45d9ff26-d3da-4115-99fd-272a86210cb0,H5 chondrite meteorite,7,rock,An H chondrite that is of petrologic type 5.,49584,49844,1,,H5
84,49615,1:1:49615:1,dfcf265f-e120-4f3d-88f3-0e28ffcfcd5b,H5-an chondrite meteorite,7,rock,An H chondrite that is petrologic type 5 and has anomalous properties.,49614,0,0,,H5-an
85,49616,1:1:49616:0,658f02d0-fc45-4988-90d4-e4abe7e6a55d,H5-melt breccia chondrite meteorite,7,rock,An H5 chondrite that is a breccia with melted material forming the matrix.,49614,0,0,,H5-melt breccia
86,49617,1:1:49617:9,cfe11f69-3225-4659-ad2a-654b913f8a47,H/L5 chondrite meteorite,7,rock,An H chondrite or L chondrite that is of petrological type 5.,49614,0,0,,H/L5
87,49618,1:1:49618:8,98807f94-de06-4386-9995-46ee6b538694,H5-6 chondrite meteorite,7,rock,An H chondrite that is a breccia of petrological type 5 and 6 components.,49614,0,0,,H5-6
88,49619,1:1:49619:7,0d2409c5-725c-4a1c-9835-e9fd536b2ff1,H6 chondrite meteorite,7,rock,An H chondrite that is of petrologic type 6.,49584,49845,1,,H6
89,49620,1:1:49620:3,cf02a121-3ad0-4d8d-9eed-17696ca5fe8d,H6-an chondrite meteorite,7,rock,An H chondrite that is petrologic type 6 and has anomalous properties.,49619,0,0,,H6-an
90,49621,1:1:49621:2,460ce072-ac4b-4754-9c00-ca89147af82b,H6-melt breccia chondrite meteorite,7,rock,An H6 chondrite that is a breccia with melted material forming the matrix.,49619,0,0,,H6-melt breccia
91,49622,1:1:49622:1,ffa0454c-5e52-471a-aab9-26a8f975aed4,H(L)6 chondrite meteorite,7,rock,"An H chondrite (or less likely, an L chondrite) that is of petrologic type 6.",49585,49710,0,,H(L)6
92,49623,1:1:49623:0,5b06c4a6-ef54-4fcc-9e06-5823f7ea0be5,H/L6-melt rock chondrite meteorite,7,rock,An H chondrite or L chondrite that is of petrological type 6 and has experienced secondary melting.,50449,0,0,,H/L6-melt rock
93,49625,1:1:49625:8,a2e7d04e-8f0d-4a38-a9db-2b7ee300c0e0,H7 chondrite meteorite,7,rock,An H chondrite that is of petrologic type 7. Note that petrologic type 7 is not used consistently or widely accepted in the literature.,49584,49846,0,,H7
94,49626,1:1:49626:7,36c10022-7478-4387-a9b4-80d48c63e637,H-an chondrite meteorite,7,rock,An H chondrite that is anomalous and for which the petrologic type has not been determined.,49584,0,0,,H-an
95,49627,1:1:49627:6,cfde21b7-2b18-47a6-be2d-1f4040e5ed72,H-imp melt chondrite meteorite,7,rock,An H chondrite that has experienced impact melting and for which the petrologic type has not been determined.,49584,0,0,,H-imp melt
96,49628,1:1:49628:5,d907cef8-0fed-4b52-9a3a-dec05572c4d7,H-melt breccia chondrite meteorite,7,rock,An H chondrite that is a breccia with melted material forming the matrix and for which the petrologic type has not been determined.,49584,0,0,,H-melt breccia
97,49629,1:1:49629:4,442d3f95-9675-4006-91ae-9cafb7d97daa,H-melt rock chondrite meteorite,7,rock,An H chondrite that has experienced secondary melting and for which the petrologic type has not been determined.,49584,0,0,,H-melt rock
98,49630,1:1:49630:0,ea18cebb-5c58-4e90-ada1-50f2dacbbd03,H-metal chondrite meteorite,7,rock,A meteorite that is dominantly composed of Fe-Ni metal. It seems likely that the object was derived from an ordinary H chondrite and was not once part of an extended metal-rich body.,49584,0,0,,H-metal
99,49631,1:1:49631:9,1ee6c554-a82d-4e77-88d6-8c9c0bd85d30,H? chondrite meteorite,2,variety,An ordinary chondrite that may be from the H chondrite group and for which petrologic type has not been determined.,49584,0,0,,H?
100,49632,1:1:49632:8,03504bb6-23b3-4bc5-983f-92c61e647d89,H~4 chondrite meteorite,2,variety,An H chondrite that is approximately petrologic type 4.,49584,0,0,,H~4
101,49633,1:1:49633:7,5edb1182-ee6a-40c5-830a-d4b393fd7fbc,H~4/5 chondrite meteorite,2,variety,An H chondrite that is approximately petrologic type 4 or 5.,49584,0,0,,H~4/5
102,49634,1:1:49634:6,7341c59d-064d-4254-937d-044c02cd7e50,H~5 chondrite meteorite,2,variety,An H chondrite that is approximately petrologic type 5.,49584,0,0,,H~5
103,49635,1:1:49635:5,760f4650-25fd-4ecc-9748-644277aa8828,H~6 chondrite meteorite,2,variety,An H chondrite that is approximately petrologic type 6.,49584,0,0,,H~6
104,49636,1:1:49636:4,9ec78d81-20c0-4cbb-8487-d1b989e6b3b6,H(5?) chondrite meteorite,2,variety,An H chondrite that is possibly petrologic type 5.,49584,0,0,,H(5?)
105,49637,1:1:49637:3,492a4c1f-6727-4e37-9684-c8f424f9f631,H5-7 chondrite meteorite,2,variety,An H chondrite that is a breccia of petrological types 5 to 7.,49584,0,0,,H5-7
106,49638,1:1:49638:2,5dfc8cba-f497-4e7d-ae75-c8fa10d149ac,H/L~4 chondrite meteorite,2,variety,An H chondrite or L chondrite that is approximately of petrological type 4.,49584,0,0,,H/L~4
107,49639,1:1:49639:1,e518925e-84a3-40c1-a9db-3e03c66aecc3,H4(?) chondrite meteorite,2,variety,An ordinary chondrite that may be of petrologic type 4 and that is possibly an H chondrite.,49584,0,0,,H4(?)
108,49640,1:1:49640:7,ae845d58-8b3c-4ede-9ac7-bf4a6b55caf1,H(?)4 chondrite meteorite,2,variety,An ordinary chondrite of petrologic type 4 that is possibly an H chondrite.,49584,0,0,,H(?)4
109,49641,1:1:49641:6,25667d04-8b13-4030-a8ec-8df125317356,H3-5 chondrite meteorite,2,variety,An H chondrite that is a breccia of petrological types 3 to 5.,49584,0,0,,H3-5
110,49642,1:1:49642:5,5d9dbd66-200e-4d20-8c20-abd9ade46c22,H3-6 chondrite meteorite,2,variety,An H chondrite that is a breccia of petrological types 3 to 6.,49584,0,0,,H3-6
111,49643,1:1:49643:4,174d54ed-5259-4f4f-a913-8d0c063b3bcd,H3.2-6 chondrite meteorite,2,variety,An H chondrite that is a breccia of petrological types 3.2 to 6.,49584,0,0,,H3.2-6
112,49644,1:1:49644:3,cc8dc9e1-1fb7-41fd-9135-4bae10e6e87e,H3.9-5 chondrite meteorite,2,variety,An H chondrite that is a breccia of petrological types 3.9 to 5.,49584,0,0,,H3.9-5
